PortalID,GrantID,Status,LastUpdated,ChangeNotes,AgencyDept,Title,Type,LOI,Categories,CategorySuggestion,Purpose,Description,ApplicantType,ApplicantTypeNotes,Geography,FundingSource,FundingSourceNotes,MatchingFunds,MatchingFundsNotes,EstAvailFunds,EstAwards,EstAmounts,FundingMethod,FundingMethodNotes,OpenDate,ApplicationDeadline,AwardPeriod,ExpAwardDate,ElecSubmission,GrantURL,AgencyURL,AgencySubscribeURL,GrantEventsURL,ContactInfo,AwardStats
7108,,closed,"2022-02-17 19:28:32","This is not a program for microbusinesses at this time. We are selecting grantmaking entities for the program. Deadline extended to November 30.","Governor's Office of Business and Economic Development","Grantmaking Entity for CA Microbusiness Grant Program",Grant,No,"Disadvantaged Communities; Disaster Prevention & Relief; Employment, Labor & Training; Housing, Community and Economic Development","Small Business","The MBCRG Program provides grant funding to administer to administer grants to microbusinesses. Open only to eligible grantmaking entities defined as a county government (Round 1). The intent of the funding is for the awarded grantmaking entities to provide relief to the microbusinesses and entrepreneurs.    THIS IS NOT A GRANT FOR MICROBUSINESSES AT THIS TIME. ONLY COUNTY GOVERNMENTS PROPOSING TO ADMINISTER THE PROGRAM ARE ELIGIBLE ROUND 1","The California Microbusiness COVID-19 Relief Grant Program (MBCRG) was created in 2021 to assist qualified microbusinesses that have been significantly impacted by the COVID-19 pandemic in California. Existing law (Government Code Section 12100.83) requires CalOSBA to make grants to assist qualified small businesses negatively affected by the COVID-19 pandemic, in accordance with specified criteria, including geographic distribution based on COVID-19 restrictions and industry sectors most impacted by the pandemic, among other things. The California Microbusiness COVID-19 Relief Grant Program was enacted by Senate Bill No. 151 (Government Code 12100.90). The new funds will be expressly for microbusinesses and administered by the Office of the Small Business Advocate (CalOSBA) through county agencies and coalitions of nonprofit organizations (“grantmaking entity/ies”) that will disperse the funds to microbusinesses and entrepreneurs in the state. CalOSBA within the Governor’s Office of Business and Economic Development (GO-Biz) is charged with administering and providing oversight for the Program.    The MBCRG Program provides approximately fifty million dollars ($50,000,000) in one-time grant funding to administer a Request for Proposal (RFP) for eligible grantmaking entities defined as a county government or consortium of nonprofit, community-based organizations. The intent of the funding is to provide relief to the hardest to reach microbusinesses and entrepreneurs. The grantmaking entities will develop and implement an outreach and marketing plan to identify and engage eligible microbusinesses that face systemic barriers to access capital, including but not limited to, businesses owned by women, minorities, veterans, individuals without documentation, individuals with limited English proficiency, and business owners located in low-wealth and rural, communities. The Program will award funds to eligible grantmaking entities to distribute grants to eligible microbusinesses that have been impacted by COVID-19 and the associated health and safety restrictions. The program was authorized with a single round of funding ending on December 31, 2022 (repeal date).    ONLY COUNTY GOVERNMENTS PROPOSING TO ADMINISTER THE PROGRAM ARE ELIGIBLE ROUND 1.    The deadline to apply for Round 1 is Tuesday November 30 2021 by 5:00PM    Please see the request for proposals for additional information: https://cdn.calosba.ca.gov/wp-content/uploads/2021-22-MBCRG-Program-Announcement-FINAL.pdf","Public Agency","The purpose of this announcement is to solicit applications from California’s 58 county governments as eligible grantmaking entities to administer a grant program for their county and distribute $2,500 grants to eligible microbusinesses impacted by COVID-19 and related health and safety restrictions. Round 1 is open only to California county governments.",California,State,"Government Code 12100.90 requires CalOSBA to administer a Request for Proposal (RFP) for eligible grantmaking entities defined as a county, nonprofit or consortium of nonprofit community-based organizations to administer the Program in all 58 California counties.","Not Required",,"$50,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)","Following execution of the agreement, the grantmaking entity will receive an upfront payment for the total amount to disburse through grants to eligible micro businesses as well as a portion of administrative costs as outlined in the final agreement. Any remaining administrative costs will be processed with a final payment to be held until all disbursements have been made and final reports have been submitted and approved.","2021-10-11 07:00:00","2021-11-30 17:00:00","December 31, 2022",12/22/2021,"email: osba@gobiz.ca.gov;",https://cdn.calosba.ca.gov/wp-content/uploads/2021-22-MBCRG-Program-Announcement.pdf,https://calosba.ca.gov/,https://calosba.ca.gov/grant-and-funding-opportunities/,https://zoom.us/webinar/register/WN_CuonBpWeT0CO2QixxG6OtA,"name: Jean Coleman; email: osba@gobiz.ca.gov; tel: 1-916-719-2212;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""26""}]"
6598,,active,"2021-10-11 18:33:11","Changed from forecasted to active.","Department of Fish and Wildlife","Qualified Cultivator Funding Opportunity",Grant,No,"Environment & Water",,"The California Department of Fish and Wildlife (CDFW) is seeking high quality grant proposals for eligible applicants to assist qualified cannabis cultivators and enhance CDFW’s mission to manage California’s diverse fish, wildlife, and plant resources, and the habitats upon which they depend, for their ecological values and for their use and enjoyment by the public.","Applications may be considered under one or both of the following project priorities.  Project Type - Transition from Provisional License to Annual License: To transition to an annual license, provisional licensees must meet all regulatory requirements in Title 3 of the California Code of Regulations, sections 8102, 8105, and 8106. Eligible activities under this project type include, but are not limited to: cleanup, remediation, and restoration, professional services, consulting, and infrastructure related to cleanup, remediation, and restoration. Eligible costs include but are not limited to: compliance costs (except the ineligible costs described above); meeting the avoidance, minimization, or mitigation requirements approved in the project’s CEQA document; or county permitting requirements.  If the applicant is representing a provisional license cultivator, actions outlined must lead to the issuance of an annual license or lead to on-the-ground implementation that will result in the issuance of an annual license from the licensing authority.  Project Type - Sustainable Cannabis Cultivation Practices: Sustainable cannabis cultivation practices should alleviate direct and indirect environmental impacts of cannabis cultivation and enhance environmental stewardship. Activities that may be eligible include but are not limited to: sustainable water consumption, sustainable waste management, integrated pest and disease management, erosion control, and/or riparian protection.  Qualified Cultivator - The following qualified cultivator may be represented by an eligible applicant. The qualified cultivator being represented by the eligible applicant must at a minimum have a valid and active provisional license or annual license issued by the California Department of Food and Agriculture (CDFA; now the Department of Cannabis Control). Bus. & Prof. Code, § 26050.2 et seq.). Priority will be given to qualified cultivators with ownership and/or financial interest in no more than 10,000 square feet of total canopy. However, cultivators with ownership and/or financial interest accumulating between 10,000-20,000 square feet of total canopy may still qualify.  All proposed projects must benefit qualified cultivators as defined below. Qualified cultivation license types are:  Specialty cottage:-“Specialty Cottage Outdoor” is an outdoor cultivation site with up to 25 mature plants.-“Specialty Cottage Mixed-Light Tier 1” only, is a mixed-light cultivation site with 2,500 square feet or less of total canopy  Specialty:-“Specialty Outdoor” is an outdoor cultivation site with less than or equal to 5,000 square feet of total canopy, or up to 50 mature plants.-“Specialty Mixed-Light Tier 1” only, is a mixed-light cultivation site between 2,501 and 5,000 square feet of total canopy.  Small:- “Small Outdoor” is an outdoor cultivation site between 5,001 and 10,000 square feet of total canopy.- “Small Mixed-Light Tier 1” only, is a mixed-light cultivation site between 5,001 and 10,000 square feet of total canopy.  “Mixed-light Tier 1” is without the use of artificial light or the use of artificial light at a rate above zero, but no more than six watts per square foot.","Nonprofit; Public Agency; Tribal Government","The following entity types are eligible to apply (FGC §1501.5(b)): Public agencies within California; Nonprofit organizations qualified to do business in California, qualified under Section 501(c) of Title 26 of the United States Code, and have the capacity to meet the requirements of this Solicitation and the executed grant agreement; and California Native American tribes, as that term is defined in Public Resources Code Section 21073.","Funds will be available for projects statewide. However, if proposed projects are within a Cannabis Priority Watershed, as defined by the State Water Resources Control Board in coordination with CDFW, and/or identified as a priority stream in the California Water Action Plan, they will receive higher scores during the proposal evaluation process.",State,"This Solicitation addresses priorities that will contribute to the objectives of the State of California’s Revenue and Taxation code Section 34019(f)(2) as well as CDFW’s mission. CDFW will award these funds through the Cannabis Restoration Grant Program.","Not Required","Cost share is encouraged not required; however, proposals with higher proportions of secured cost share will receive higher scores during the evaluation process.","$6,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),,"2021-10-11 07:00:00","2023-04-30 16:00:00","Until spring of 2023","Rolling Basis","email: canngrantprogram@wildlife.ca.gov;",https://wildlife.ca.gov/Conservation/Watersheds/Cannabis-Restoration-Grant,https://wildlife.ca.gov/,https://wildlife.ca.gov/Grants/Signup,https://wildlife.ca.gov/Conservation/Watersheds/Cannabis-Restoration-Grant,"name: Margaret Massie; email: canngrantprogram@wildlife.ca.gov; tel: 1-916-542-3840;",
7093,,closed,"2021-10-07 18:53:48","Updated phone number","Governor's Office of Emergency Services","2021-22 Electronic Suspected Child Abuse Reporting System (ES) Program RFP",Grant,No,"Consumer Protection; Health & Human Services; Law, Justice, and Legal Services","Victim Services","The purpose of the ES Program is to improve the system of sharing information for suspected child abuse cases by establishing an electronic Suspected Child Abuse Report (SCAR) system that will be used by district attorney offices, local law enforcement, and county child welfare services departments.","To be eligible to receive funds Applicants must be a county district attorney’s office and must have cooperative participation with their county child welfare services department and local law enforcement agencies. Counties that already have an electronic SCAR system are not eligible.","Public Agency","To be eligible to receive funds Applicants must be a county district attorney’s office and must have cooperative participation with their county child welfare services department and local law enforcement agencies. Counties that already have an electronic SCAR system are not eligible.",California,Federal,"The Program is supported through Children’s Justice Act (CJA) Grant funds.• CJA Grant funds assist states in developing, establishing, and operating programs designed to improve the response to cases of child abuse and neglect.• There is no match required.• Cal OES’s four-character code for this federal fund is CJA0. This code will be in the drop down on the Grant Subaward Face Sheet (Cal OES Form 2-101).","Not Required",,"$600,000","Dependant on number of submissions received, application process, etc.","Between $0 and $200,000",Reimbursement(s),,"2021-10-07 15:00:00","2021-12-10 17:00:00","04/01/22 - 03/31/23",02/01/2022,,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=ES,https://www.caloes.ca.gov/cal-oes-divisions/grants-management,https://www.caloes.ca.gov/cal-oes-divisions/grants-management,,"name: Samantha Clay; email: Samantha.Clay@caloes.ca.gov; tel: 1-916-328-7511;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""1""}]"
7081,DOJ-GVRP-2021-22-1,closed,"2022-01-21 21:10:57",,"Department of Justice (Office of the Attorney General)","Gun Violence Reduction Program (GVRP)",Grant,No,"Law, Justice, and Legal Services",,"In accordance with the State Budget Act (the “Act”), the California Department of Justice intends to distribute a total of $5 million in FY 2021-22 to support California County Sheriff’s Department's in conducting activities related to the seizure of weapons and ammunition from persons who are prohibited from possessing them, including efforts based upon entries in the Department’s Armed Prohibited Persons System (APPS).","In accordance with the State Budget Act, funds will be awarded to applicants on a competitive basis to agencies based on, and subject to, the following criteria:  1) Priority shall be given to counties with the highest per capita population of armed prohibited persons residing in the county;  2) Priority shall be given to counties that do not have a Department of Justice Bureau of Firearms field office within their boundaries;  3) Priority shall be given to proposals that include innovative techniques or approaches to prohibited persons investigations and seizures that differ from existing efforts by the Department, other law enforcement agencies, or other grant applicants;  4) Priority shall be given to proposals that include integration of prohibited persons investigations and seizure operations into existing patrol and investigatory functions; and  5) Priority shall be given to proposals that demonstrate the greatest likelihood of firearm and ammunition seizures from persons who are prohibited from possessing them.    Grant funds shall be available for expenditure for two years from the award date.    Specific costs that may be supported by funds awarded under the Gun Violence Reduction Program Grant Program are as follows:  Personnel - Salaries, benefits and overtime are allowable expenses.  Equipment - Equipment that directly supports the applicant’s project proposal may be purchased using  grant funds. Equipment is defined as an item that has a per-unit acquisition cost of $5,000 or more and a useful life of at least one year.  Supplies - Supplies that directly support the applicant’s project proposal may be purchased using grant  funds. Supplies are defined as items that have a per-unit cost of less than $5,000 and may be  consumable.    Each grantee shall, by no later than the February 1 following each calendar year in which grant  funds were used, complete the Department Gun Violence Reduction Program Annual  Reporting Template","Public Agency","Any county sheriff’s department within the State of California is eligible to receive funds.","Any county sheriff’s department within the State of California.",State,"California State Budget Act of 2021 (SB 170).  Section 22. Item 0820-101-0001 of Section 2.00.","Not Required",,"$5,000,000","Between 10 and 20","Between $250,000 and $1,000,000",Advance(s),"The grant recipient will not be eligible to receive funding for expenditures until an STD 204 is in place. Upon receipt of the finalized documents, the Department will request payment through the California State Controller’s Office.","2021-10-06 07:00:00","2021-11-12 00:00:00","Two years","January 1, 2022","email: GVRPGrantRFP@doj.ca.gov;",https://oag.ca.gov/gvrp,https://oag.ca.gov,,,"email: GVRPGrantRFP@doj.ca.gov; tel: 1-916-210-7006;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""14""}]"
7066,,closed,"2022-06-07 22:45:33",,"Department of Fish and Wildlife","Native Wildlife Rehabilitation Grants Program",Grant,No,"Environment & Water; Parks & Recreation; Science, Technology, and Research & Development",,"The California Department of Fish and Wildlife has established a competitive grant program to support and advance the recovery and rehabilitation of injured, sick, or orphaned wildlife, and conservation education. Funds may be used to support facility operations, improvement and/or innovation in care of wildlife during rehabilitation (e.g., enclosure improvements; dietary enrichment; post-release monitoring; conservation education).","ELIGIBILITY CRITERIA  To be eligible for grant funding from the competitive grant program established pursuant to Section 1773.1, an applicant shall meet all of the following criteria:  (a)   The applicant shall provide proof that it is a nonprofit organization that operates a wildlife rehabilitation facility permitted pursuant to Section 679 of Title 14 of the California Code of Regulations; or as an authorized satellite facility (sub-permittee).  (b)   The applicant shall be in compliance with all conditions of its Wildlife Rehabilitation Memorandum of Understanding.  (c)   The applicant shall maintain active participation in the Wildlife Rehabilitation Medical Database.  FUNDING & DURATION  Grant term will be March 1, 2022 – November 30, 2022. This is a reimbursable grants program. Allowable costs for reimbursement cannot be incurred before or after the grant term. Grants will range from $3,000 to $19,000.  GRANT TIERS  The available pool of funds will be distributed to eligible applicants using the following tiers based on 2020 wild animal intake and in the amounts shown:  2020 intake                                                   Grant amount  1 – 100                                                                     $3,000101 - 1,000                                                              $9,0001,001 – 4,000                                                           $14,0004,001 & over                                                             $19,000  REVIEW PROCESS  CDFW will validate each applicant’s eligibility and strive to fund as many grants as there are eligible applicants. Incomplete applications will not be considered. If more applications are submitted than funds available (Voluntary Tax Contribution Fund), then grants will be funded in the order applications were received.  REPORTING REQUIREMENTS  Grant recipients must submit a Final Performance Report that describes activities funded with this grant. The report is due no later than November 30, 2022. Failure to submit may disqualify the applicant from future consideration as a grantee of funds from this program.  UNALLOWABLE COSTSIncentives: Raffles, incentives, gifts, and donations.  Hospitality: Hospitality suites, alcoholic beverages, costs of entertainment, including amusement, diversion and social activities, any costs directly associated with such costs (e.g., tickets to shows, sports events, meals, lodging, rentals, transportation, gratuities).  Fundraising: Organized fundraising, e.g., financial campaigns, solicitation of gifts.  HOW TO APPLY  Applications must be submitted electronically by 5:00 p.m. PDT on November 1, 2021 (ATTN: Wildlife Rehabilitation Program / victoria.monroe@wildlife.ca.gov). Applicants are required to submit an application packet consisting of: (1) cover letter; (2) project description; and (3) records verifying eligibility.",Nonprofit,"An applicant shall meet all of the following criteria to be eligible for grant funding:  (a) Be a nonprofit organization that operates a permitted wildlife rehabilitation facility; or as an authorized satellite facility (sub-permittee).  (b) Be in compliance with all conditions of its Wildlife Rehabilitation Permit and Memorandum of Understanding.  (c) Maintain active participation in the Wildlife Rehabilitation Medical Database.",Statewide,State,"GRANTING AUTHORITY  Funding is provided from the Division 2. Department of Fish and Wildlife. Chapter 7.5. Native Species Conservation and Enhancement. Article 5. Native California Wildlife Rehabilitation Voluntary Tax Contribution Fund. The CDFW shall maintain the fund established pursuant to Section 1773 of the Fish and Game Code and Section 18749.1 of the Revenue and Taxation Code.","Not Required",,"$675,000","Dependant on number of submissions received, application process, etc.","Between $3,000 and $19,000",Reimbursement(s),"Grants program is a reimbursable grants program. Grantees will be reimbursed for allowable costs incurred during the grant term.","2021-10-05 15:00:00","2021-11-01 17:00:00","March 1-Nov 30, 2022","November 8, 2021","email: victoria.monroe@wildlife.ca.gov;",https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab,https://wildlife.ca.gov,https://wildlife.ca.gov/Grants,,"name: Vicky Monroe; email: victoria.monroe@wildlife.ca.gov; tel: 1-916-856-8335;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":47,""grantsAwarded"":46}]"
7072,,closed,"2021-10-05 21:58:11",,"CA Department of Food and Agriculture","Proactive Integrated Pest Management (IPM) Solutions Program",Grant,No,Agriculture,,"The goal of the Proactive IPM Solutions grant program is to anticipate which exotic pests are likely to arrive in California and to identify and test IPM strategies that can be rapidly implemented if the pests become established in California. CDFA is responsible for preventing and mitigating invasive pests in California. Techniques resulting from the Proactive IPM Solutions Program will allow for rapid deployment of future management plans.","The objective of this research program is to identify and test IPM strategies to control one of the target pests identified by CDFA. The IPM program could be quickly implemented once the invasive pest becomes established in California. It is a priority to first utilize and adapt existing knowledge and technology that may exist outside of California. Additionally, the focus is on targets suitable for long-term IPM control. Pests that are typically successfully eradicated, such as certain fruit flies, will not be a high priority.","Nonprofit; Public Agency; Tribal Government","Public or private colleges and universities, local and federal government entities including tribal governments, and non-profit organizations are eligible to apply.  California state agencies may not submit proposal applications but may be listed as subcontractors on other proposals. State agency share of funding may not exceed 30% of total funding. State agencies may not take the lead in project management.","The project lead(s) and/or collaborators must have access to a quarantine facility if the project involves biological control or testing products on insects that are not yet established in California.",State,,"Not Required",,"$1,000,000","Between 2 and 4","Between $250,000 and $500,000",Reimbursement(s),,"2021-10-05 07:00:00","2021-12-06 17:00:00","3 years","January 13, 2022","url: https://www.cdfa.ca.gov/oefi/opca/docs/Final_Proactive_IPM_RFP_2021.pdf;",https://www.cdfa.ca.gov/oefi/opca/proactive-ipm.html,https://www.cdfa.ca.gov/oefi/opca/,https://www.cdfa.ca.gov/subscriptions/#Environmental,,"email: cdfa.eo_oefi_opca@cdfa.ca.gov; tel: 1-916-628-1299;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""1""}]"
7069,,closed,"2021-12-07 19:21:06",,"CA Department of Food and Agriculture","Biologically Integrated Farming Systems (BIFS) Program",Grant,No,Agriculture,,"The goal of the revitalized Biologically Integrated Farming Systems grant program is to provide outreach of innovative, biologically integrated plant-based farming systems that reduce chemical pesticide inputs. Projects from this program should demonstrate IPM-based alternative pest management options that focus on economical and efficacious biological and cultural pest management techniques that allow growers to maintain yields and quality.","The objective of this program is to demonstrate and refine IPM-based farming projects designed to reduce chemical pesticide inputs, especially non-selective, biologically disruptive insecticides and herbicides, with greater risk to human health and/or the environment. Applicants should discuss the risks of the insecticide(s) and/or herbicide(s) they are aiming to reduce. All aspects of the farming system may be considered as they relate to  pest management, including factors such as adjacent landscapes, whether they are farmed or not.    Projects will typically include the following three elements:    (1) On-farm demonstration/evaluation of an innovative, biologically-based farming system,  that employs IPM strategies;    (2) A collaborative outreach effort for sharing technical information about the farming  system, and;    (3) An organized program of monitoring key biological and economic variables so as to  inform on-farm decision making as well as evaluate project success.","Nonprofit; Public Agency; Tribal Government","Public or private colleges and universities, local and federal government entities including tribal governments, and non-profit organizations are eligible to apply.    California state agencies may not submit proposal applications but may be listed as subcontractors on other proposals. State agency share of funding may not exceed 30% of total funding. State agencies may not take the lead in project management.","The project lead(s) and their institutions must be based in California; out-of-state collaborators are allowed.",State,,"Not Required","Industry partners can participate by providing matching funds, infrastructure for project support activities, and/or cost sharing rebates for farming system inputs such as cover crop seeds, beneficial organisms (arthropods and microorganisms), insectary shrubs and trees, insect traps, laboratory services, and/or farm implements. Matching funds from industry partners, while not required, are encouraged.","$2,000,000","Between 2 and 4","Between $500,000 and $1,000,000",Reimbursement(s),,"2021-10-05 07:00:00","2021-12-20 17:00:00","4 years","January 13, 2022","url: https://webportalapp.com/sp/opca_bifs_grant_program_2021;",https://www.cdfa.ca.gov/oefi/opca/bifs.html,https://www.cdfa.ca.gov/oefi/opca/,https://www.cdfa.ca.gov/subscriptions/#Environmental,,"email: cdfa.eo_oefi_opca@cdfa.ca.gov; tel: 1-916-628-1299;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""1""}]"
7060,,closed,"2021-10-05 00:32:23",,"Board of State and Community Corrections","Public Defense Pilot Program",Grant,No,"Disadvantaged Communities; Law, Justice, and Legal Services",,"Public Defense Pilot Program funds must be utilized for indigent defense providers, including public defenders, alternate defenders, and other qualifying entities that provide indigent defense in criminal matters for the purposes of workload associated with the provisions in paragraph (1) of subdivision (d) of Section 1170 of, and Sections 1170.95, 1473.7, and 3051 of, the Penal Code.","The Budget Act of 2021 (Senate Bill 129) established the Public Defense Pilot Program. Public Defense Pilot Program funds must be utilized for indigent defense providers, including public defenders, alternate defenders, and other qualifying entities that provide indigent defense in criminal matters for the purposes of workload associated with the provisions in paragraph (1) of subdivision (d) of Section 1170 of, and Sections 1170.95, 1473.7, and 3051 of, the Penal Code.  Applications must be received by 5:00 P.M. on Friday, January 14, 2022. Applicants must ensure the application packet is signed with a digital signature OR a wet blue ink signature that is then scanned with the completed proposal package. Submit one (1) completed proposal packet via email to: publicdefensegrant@bscc.ca.gov.  The grant project period is from March 1, 2022 to Jan 1, 2025. Grantees will be required to submit final progress reports and any final data required for the statewide evaluation by March 1, 2025.   All California counties are eligible to participate in the Public Defense Pilot Program. Only one (1) application may be submitted on behalf of the County. Applications must be submitted by the Board of Supervisors or the County Administrative Officer.  The Board of Supervisors or County Administrative Officer may also delegate the County Public Defender’s Office or an Alternate Defender’s Office as the applicant entity.  Public Defense Pilot Program funds must be utilized for indigent defense providers, including public defenders, alternate defenders, and other qualifying entities that provide indigent defense in criminal matters for the purposes of workload associated with the provisions in paragraph (1) of subdivision (d) of Section 1170 of, and Sections 1170.95, 1473.7, and 3051 of, the Penal Code (Appendix A).  In support of these efforts, each applicant will develop a Project Work Plan that identifies measurable project goals, objectives, and commensurate timelines (Appendix B).  Pursuant to the Budget Act, county funding allocations are determined by the total adult population.  The BSCC calculated the amount of funding each county is eligible to receive by dividing $49,500,000 by the county's share of the total adult population using the 2021 projected population figures from the Department of Finance. Funding will be allocated to counties as shown in Table I. A detailed funding chart is also provided as Appendix C.  The Public Defense Pilot Program does not have a match requirement.  Disbursement of grant funds occurs in one lump sum upon execution of the Grant Agreement. The State Controller’s Office (SCO) will issue the warrant (check) to the County Applicant as listed on the Applicant Information Form. Grantees must submit statements of expenditures to the BSCC through an online process no later than 45 days following the end of the invoicing period. Grantees must maintain adequate supporting documentation for all costs claimed on invoices.  Grant award recipients are required to submit progress reports; the frequency of the reports (e.g., annual, bi-annual, quarterly) will be determined by the outside evaluator (see below). ","Public Agency","All California counties are eligible to participate in the Public Defense Pilot Program. Only one (1) application may be submitted on behalf of the County. Applications must be submitted by the Board of Supervisors or the County Administrative Officer.  The Board of Supervisors or County Administrative Officer may also delegate the County Public Defender’s Office or an Alternate Defender’s Office as the applicant entity.",,State,"The Budget Act of 2021 (Senate Bill 129) established the Public Defense Pilot Program.","Not Required",,"$148,500,000","Between 0 and 58","Between $1,528 and $12,720,246",Advance(s),"Disbursement of grant funds occurs in one lump sum upon execution of the Grant Agreement. The State Controller’s Office (SCO) will issue the warrant (check) to the County Applicant as listed on the Applicant Information Form. Grantees must submit statements of expenditures to the BSCC through an online process no later than 45 days following the end of the invoicing period.","2021-10-05 01:00:00","2022-01-14 17:00:00","3/1/2022 - 3/1/2025","February 10, 2022","email: publicdefensegrant@bscc.ca.gov;",https://www.bscc.ca.gov/public-defense-pilot-program/,https://www.bscc.ca.gov/,http://www.bscc.ca.gov/s_bsccmailchimplisterserv/,https://www.bscc.ca.gov/public-defense-pilot-program/,"email: publicdefensegrant@bscc.ca.gov; tel: 1-916-508-7233;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""35""}]"
7057,,closed,"2021-12-09 01:23:23","Tribal entities can still submit applications until December 14, 2021.","Department of Housing and Community Development","2021 CALHOME PROGRAM","Grant; Loan",No,"Housing, Community and Economic Development",,"The purpose of the CalHome program is to support existing homeownership programs aimed at low-, very low-income, and moderate-income households. The goal is to increase homeownership, encourage neighborhood revitalization and sustainable development, and maximize the use of existing housing stock.","HCD is making approximately $57 million available to fund local public agencies, nonprofit corporations, and federally Recognized and Special Government entities for the following activities:    1.       First-Time Homebuyer Mortgage Assistance    2.       Owner-Occupied Rehabilitation Assistance    3.       Technical Assistance for Self-Help Housing Projects    4.       Technical Assistance for Shared Housing Programs    5.       Accessory Dwelling Unit/Junior Accessory Dwelling Unit Assistance    6.       Homeownership Development Project Loans    This NOFA shall have a set aside of $20 million for mobilehome assistance in a mobilehome or manufactured home community.    This NOFA shall target 10 percent of the $57 million to Federally Recognized and Special Government Entities.    The NOFA shall have geographic targets of up to 45 percent of available funds for Southern California, up to 30 percent for Northern California, and 15 percent for rural jurisdictions.","Nonprofit; Public Agency; Tribal Government",,,State,,"Not Required",,"$57,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2021-10-04 07:00:00","2021-12-14 17:00:00","see std agreement","February 2022",,https://hcd.ca.gov/grants-funding/active-no-funding/calhome.shtml,https://hcd.ca.gov,,,"email: calhome@hcd.ca.gov; tel: 1-916-263-1168;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""60""}]"
7003,CEG,closed,"2021-10-04 18:19:28","Due Date","Governor's Office of Business and Economic Development","Cannabis Equity Grants Program for Local Jurisdictions",Grant,No,"Housing, Community and Economic Development",,"The purpose of the Cannabis Equity Grants Program for Local Jurisdictions is to advance economic justice for populations and communities impacted by cannabis prohibition and the War on Drugs by providing support to local jurisdictions as they promote equity in California and eliminate barriers to enter the newly regulated cannabis industry for equity program applicants and licensees.","On November 8, 2016, California voters approved Proposition 64, the Control, Regulate, and Tax Adult Use of Marijuana Act (AUMA). In its statement of purpose and intent, AUMA calls for regulating cannabis in a way that “reduces barriers to entry into the legal, regulated market.”  GO-Biz administers the Cannabis Equity Grants Program for Local Jurisdictions to aid local equity program efforts to support equity applicants and equity licensees. Offering technical support, regulatory compliance assistance, and assistance with securing the capital necessary to begin a business will further the stated intent of the AUMA by reducing barriers to licensure and employment in the regulated industry. Offering these types of support will also aid the state in its goal of eliminating or reducing the illicit cannabis market by bringing more people into the legal marketplace.","Public Agency","A local jurisdiction (a city, county, or city and county) that demonstrates an intent to develop a cannabis equity program or that has adopted or operates a cannabis equity program.","Must be a California city, county or city and county.",State,,"Not Required",,"$35,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Advance(s),"All grant funds must be expended within one year of the date the funds are disbursed to the local jurisdiction.","2021-10-04 07:00:00","2021-12-13 23:59:00","One year","January 2022","url: https://www.cannabisequitygrants.business.ca.gov;",https://business.ca.gov/CEG,https://business.ca.gov/,https://business.ca.gov/cannabis-equity-grants-program-sign-up/,,"name: CEG Program; email: ceg@gobiz.ca.gov; tel: 1-916-322-2683;","[{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":""24""}]"
